timestamp,pyrano,wind,suhu,humidity,pressure
2024-01-01 00:00:00,0.0,185.36,25.83,20.2,99.28
2024-01-01 00:01:00,0.0,185.3696666666667,25.828333333333333,20.198,99.27866666666667
2024-01-01 00:02:00,0.0,185.37933333333334,25.826666666666664,20.195999999999998,99.27733333333333
2024-01-01 00:03:00,0.0,185.389,25.825,20.194,99.276
2024-01-01 00:04:00,0.0,185.39866666666668,25.82333333333333,20.192,99.27466666666666
2024-01-01 00:05:00,0.0,185.40833333333336,25.821666666666665,20.189999999999998,99.27333333333334
2024-01-01 00:06:00,0.0,185.418,25.82,20.188,99.272
2024-01-01 00:07:00,0.0,185.42766666666668,25.81833333333333,20.186,99.27066666666667
2024-01-01 00:08:00,0.0,185.43733333333336,25.816666666666666,20.183999999999997,99.26933333333334
2024-01-01 00:09:00,0.0,185.447,25.814999999999998,20.182,99.268
2024-01-01 00:10:00,0.0,185.45666666666668,25.813333333333333,20.18,99.26666666666667
2024-01-01 00:11:00,0.0,185.46633333333335,25.811666666666664,20.178,99.26533333333333
2024-01-01 00:12:00,0.0,185.476,25.81,20.176,99.264
2024-01-01 00:13:00,0.0,185.48566666666667,25.808333333333334,20.174,99.26266666666668
2024-01-01 00:14:00,0.0,185.49533333333335,25.806666666666665,20.172,99.26133333333334
2024-01-01 00:15:00,0.0,185.505,25.805,20.169999999999998,99.26
2024-01-01 00:16:00,0.0,185.51466666666667,25.80333333333333,20.168,99.25866666666667
2024-01-01 00:17:00,0.0,185.52433333333335,25.801666666666666,20.166,99.25733333333334
2024-01-01 00:18:00,0.0,185.53400000000002,25.799999999999997,20.163999999999998,99.256
2024-01-01 00:19:00,0.0,185.54366666666667,25.798333333333332,20.162,99.25466666666667
2024-01-01 00:20:00,0.0,185.55333333333334,25.796666666666667,20.16,99.25333333333333
2024-01-01 00:21:00,0.0,185.56300000000002,25.794999999999998,20.157999999999998,99.252
2024-01-01 00:22:00,0.0,185.57266666666666,25.793333333333333,20.156,99.25066666666667
2024-01-01 00:23:00,0.0,185.58233333333334,25.791666666666664,20.154,99.24933333333334
2024-01-01 00:24:00,0.0,185.592,25.79,20.151999999999997,99.248
2024-01-01 00:25:00,0.0,185.6016666666667,25.788333333333334,20.15,99.24666666666667
2024-01-01 00:26:00,0.0,185.61133333333333,25.786666666666665,20.148,99.24533333333333
2024-01-01 00:27:00,0.0,185.621,25.785,20.145999999999997,99.244
2024-01-01 00:28:00,0.0,185.63066666666668,25.78333333333333,20.144,99.24266666666666
2024-01-01 00:29:00,0.0,185.64033333333333,25.781666666666666,20.142,99.24133333333333
2024-01-01 00:30:00,0.0,185.65,25.78,20.14,99.24000000000001
2024-01-01 00:31:00,0.0,185.65966666666668,25.778333333333332,20.137999999999998,99.23866666666667
2024-01-01 00:32:00,0.0,185.66933333333333,25.776666666666667,20.136,99.23733333333334
2024-01-01 00:33:00,0.0,185.679,25.775,20.134,99.236
2024-01-01 00:34:00,0.0,185.68866666666668,25.773333333333333,20.131999999999998,99.23466666666667
2024-01-01 00:35:00,0.0,185.69833333333332,25.771666666666665,20.13,99.23333333333333
2024-01-01 00:36:00,0.0,185.708,25.77,20.128,99.232
2024-01-01 00:37:00,0.0,185.71766666666667,25.768333333333334,20.125999999999998,99.23066666666666
2024-01-01 00:38:00,0.0,185.72733333333335,25.766666666666666,20.124,99.22933333333333
2024-01-01 00:39:00,0.0,185.737,25.765,20.122,99.22800000000001
2024-01-01 00:40:00,0.0,185.74666666666667,25.763333333333332,20.119999999999997,99.22666666666667
2024-01-01 00:41:00,0.0,185.75633333333334,25.761666666666667,20.118,99.22533333333334
2024-01-01 00:42:00,0.0,185.766,25.759999999999998,20.116,99.224
2024-01-01 00:43:00,0.0,185.77566666666667,25.758333333333333,20.113999999999997,99.22266666666667
2024-01-01 00:44:00,0.0,185.78533333333334,25.756666666666668,20.112,99.22133333333333
2024-01-01 00:45:00,0.0,185.79500000000002,25.755,20.11,99.22
2024-01-01 00:46:00,0.0,185.80466666666666,25.753333333333334,20.107999999999997,99.21866666666666
2024-01-01 00:47:00,0.0,185.81433333333334,25.751666666666665,20.105999999999998,99.21733333333333
2024-01-01 00:48:00,0.0,185.824,25.75,20.104,99.21600000000001
2024-01-01 00:49:00,0.0,185.83366666666666,25.748333333333335,20.101999999999997,99.21466666666667
2024-01-01 00:50:00,0.0,185.84333333333333,25.746666666666666,20.099999999999998,99.21333333333334
2024-01-01 00:51:00,0.0,185.853,25.745,20.098,99.212
2024-01-01 00:52:00,0.0,185.86266666666666,25.743333333333332,20.096,99.21066666666667
2024-01-01 00:53:00,0.0,185.87233333333333,25.741666666666667,20.093999999999998,99.20933333333333
2024-01-01 00:54:00,0.0,185.882,25.740000000000002,20.092,99.208
2024-01-01 00:55:00,0.0,185.89166666666665,25.738333333333333,20.09,99.20666666666666
2024-01-01 00:56:00,0.0,185.90133333333333,25.736666666666668,20.087999999999997,99.20533333333334
2024-01-01 00:57:00,0.0,185.911,25.735,20.086,99.20400000000001
2024-01-01 00:58:00,0.0,185.92066666666668,25.733333333333334,20.084,99.20266666666667
2024-01-01 00:59:00,0.0,185.93033333333332,25.731666666666666,20.081999999999997,99.20133333333334
2024-01-01 01:00:00,0.0,185.94,25.73,20.08,99.2
2024-01-01 01:01:00,0.0,185.95416666666665,25.728833333333334,20.078999999999997,99.199
2024-01-01 01:02:00,0.0,185.96833333333333,25.727666666666668,20.078,99.19800000000001
2024-01-01 01:03:00,0.0,185.9825,25.7265,20.076999999999998,99.197
